epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1471.46,1.14067,1.27149,1.2969,0.81647,0.58893,0.61562,0.48611,1.50732,1.89084,1.66893,0.00059,0.00059,0.00059
82,1488.89,1.12158,1.24497,1.25684,0.75412,0.58132,0.59585,0.44759,1.62427,2.10984,1.82675,0.00058175,0.00058175,0.00058175
83,1510.14,1.16136,1.30524,1.30744,0.78868,0.60461,0.61299,0.49116,1.46785,1.86496,1.71536,0.0005735,0.0005735,0.0005735
84,1527.45,1.13979,1.28611,1.29144,0.84118,0.58152,0.61411,0.49756,1.40036,1.86206,1.72591,0.00056525,0.00056525,0.00056525
85,1544.47,1.14231,1.28645,1.2921,0.783,0.59795,0.63463,0.50859,1.34475,1.67786,1.63567,0.000557,0.000557,0.000557
86,1566.7,1.10543,1.22716,1.27144,0.83437,0.58763,0.61996,0.4798,1.36124,1.79728,1.61801,0.00054875,0.00054875,0.00054875
87,1588.79,1.08527,1.2072,1.26207,0.8151,0.58982,0.61177,0.50283,1.39249,1.89607,1.62872,0.0005405,0.0005405,0.0005405
88,1605.14,1.0523,1.20526,1.24463,0.79926,0.58628,0.61191,0.5058,1.36055,1.98055,1.56201,0.00053225,0.00053225,0.00053225
89,1621.18,1.03824,1.16237,1.23684,0.81674,0.59294,0.61379,0.49368,1.3435,1.96389,1.52942,0.000524,0.000524,0.000524
90,1643.52,1.05439,1.19428,1.23857,0.86071,0.57077,0.64767,0.51959,1.32681,1.51711,1.48759,0.00051575,0.00051575,0.00051575
91,1660.62,1.07257,1.20437,1.24839,0.85238,0.58879,0.64546,0.5246,1.41988,1.54472,1.5892,0.0005075,0.0005075,0.0005075
92,1676.77,1.06881,1.21954,1.26506,0.85204,0.55793,0.61806,0.49048,1.45816,1.8063,1.66111,0.00049925,0.00049925,0.00049925
93,1694.91,1.0966,1.23565,1.28704,0.78876,0.58932,0.62167,0.50616,1.37322,1.79996,1.66868,0.000491,0.000491,0.000491
94,1712.93,1.12158,1.24873,1.29968,0.83129,0.59517,0.6359,0.5118,1.32424,1.6391,1.59761,0.00048275,0.00048275,0.00048275
95,1729.53,1.09882,1.23385,1.27464,0.85919,0.58835,0.6449,0.52682,1.28235,1.49093,1.53068,0.0004745,0.0004745,0.0004745
96,1751.34,1.03442,1.16303,1.23333,0.82281,0.60078,0.63473,0.50217,1.35399,1.78513,1.55214,0.00046625,0.00046625,0.00046625
97,1767.14,1.08104,1.19873,1.27445,0.79967,0.58926,0.63849,0.49106,1.4031,1.82764,1.61536,0.000458,0.000458,0.000458
98,1784.83,1.01328,1.14276,1.23137,0.79543,0.61154,0.62835,0.49923,1.31349,1.93767,1.5423,0.00044975,0.00044975,0.00044975
99,1802.17,1.01668,1.14679,1.21803,0.79377,0.59381,0.62022,0.50312,1.3292,1.81823,1.6147,0.0004415,0.0004415,0.0004415
100,1817.97,1.04484,1.17661,1.24684,0.74262,0.61219,0.62618,0.51307,1.36537,1.77192,1.58965,0.00043325,0.00043325,0.00043325
101,1834.65,1.06136,1.17576,1.2633,0.82656,0.57097,0.63349,0.51881,1.31445,1.6156,1.66614,0.000425,0.000425,0.000425
102,1857.27,1.03945,1.13305,1.22187,0.82167,0.62032,0.64789,0.52444,1.30031,1.36775,1.61117,0.00041675,0.00041675,0.00041675
103,1878.88,1.03801,1.14379,1.24008,0.80101,0.57442,0.62805,0.51684,1.29695,1.63721,1.52529,0.0004085,0.0004085,0.0004085
104,1894.92,1.04953,1.17806,1.25645,0.86541,0.59739,0.63949,0.52352,1.39668,1.67486,1.58727,0.00040025,0.00040025,0.00040025
105,1911.53,1.04783,1.12974,1.23158,0.76996,0.62399,0.64695,0.52866,1.3169,1.78809,1.53162,0.000392,0.000392,0.000392
106,1931.49,1.00006,1.08995,1.21308,0.76493,0.63206,0.65441,0.53331,1.35032,1.84844,1.56977,0.00038375,0.00038375,0.00038375
107,1948.7,1.01367,1.11694,1.21727,0.82895,0.60406,0.66855,0.54367,1.30968,1.6885,1.58693,0.0003755,0.0003755,0.0003755
108,1970.11,1.01956,1.10664,1.23266,0.82557,0.61564,0.65694,0.53308,1.28643,1.91589,1.5159,0.00036725,0.00036725,0.00036725
109,1986.98,1.01965,1.13353,1.22749,0.84191,0.62032,0.66751,0.5438,1.23264,1.89226,1.47847,0.000359,0.000359,0.000359
110,2008.99,1.00255,1.0939,1.2183,0.80974,0.62706,0.66218,0.53736,1.3247,1.97315,1.56134,0.00035075,0.00035075,0.00035075
111,2025.63,0.99885,1.08586,1.21055,0.81199,0.60461,0.66529,0.54187,1.30194,1.89281,1.54222,0.0003425,0.0003425,0.0003425
112,2047.36,0.99274,1.09182,1.22348,0.80908,0.62925,0.66553,0.54134,1.34001,1.8395,1.53236,0.00033425,0.00033425,0.00033425
113,2063.78,1.00021,1.10097,1.234,0.86163,0.63492,0.68981,0.56274,1.35635,1.7651,1.56874,0.000326,0.000326,0.000326
114,2081.15,0.9953,1.09018,1.22204,0.81184,0.60013,0.66829,0.55857,1.37672,1.6563,1.59776,0.00031775,0.00031775,0.00031775
115,2103.34,0.99842,1.05449,1.20172,0.79322,0.62561,0.65915,0.55012,1.34574,1.67998,1.58165,0.0003095,0.0003095,0.0003095
116,2126.53,0.95424,1.02462,1.17242,0.76803,0.63005,0.6682,0.53852,1.44911,1.87533,1.6496,0.00030125,0.00030125,0.00030125
117,2144.9,0.98537,1.08166,1.19894,0.79273,0.65479,0.66907,0.55386,1.36771,1.89314,1.59679,0.000293,0.000293,0.000293
118,2167.72,1.00943,1.07089,1.22877,0.78859,0.66486,0.66645,0.56026,1.40527,1.76789,1.66014,0.00028475,0.00028475,0.00028475
119,2184.24,0.975,1.05564,1.20664,0.76499,0.64563,0.66409,0.55545,1.35244,1.79281,1.60768,0.0002765,0.0002765,0.0002765
120,2200.49,0.98634,1.08318,1.20689,0.81037,0.63547,0.67981,0.55158,1.33433,1.74943,1.54132,0.00026825,0.00026825,0.00026825
121,2216.98,0.95271,1.02306,1.19362,0.76156,0.61976,0.66502,0.54996,1.16758,1.77366,1.42303,0.00026,0.00026,0.00026
122,2237.48,0.95684,1.0399,1.19705,0.7356,0.63492,0.65952,0.5538,1.30921,1.90939,1.51734,0.00025175,0.00025175,0.00025175
123,2258.95,0.96854,1.04312,1.1969,0.784,0.6438,0.66678,0.55515,1.30142,1.89791,1.53076,0.0002435,0.0002435,0.0002435
124,2281.01,0.95476,1.02547,1.18506,0.83456,0.62847,0.68759,0.56657,1.29176,1.74761,1.57987,0.00023525,0.00023525,0.00023525
125,2297.79,0.94405,1.00967,1.17777,0.74046,0.64971,0.66727,0.55448,1.39611,1.80953,1.70807,0.000227,0.000227,0.000227
126,2315.68,0.96723,1.03172,1.20183,0.76326,0.63534,0.66058,0.54245,1.32943,1.9466,1.59128,0.00021875,0.00021875,0.00021875
127,2332.9,0.93908,1.02518,1.18977,0.7914,0.64214,0.66274,0.56362,1.30672,1.91285,1.61876,0.0002105,0.0002105,0.0002105
128,2349.46,0.98082,1.04747,1.21307,0.81027,0.64148,0.67888,0.57026,1.38019,1.94348,1.66443,0.00020225,0.00020225,0.00020225
129,2364.17,0.92587,0.98907,1.17171,0.8227,0.6428,0.67532,0.56413,1.29565,1.91157,1.50731,0.000194,0.000194,0.000194
130,2386.42,0.93077,0.99498,1.18156,0.80948,0.66042,0.67848,0.56721,1.35809,1.82754,1.59854,0.00018575,0.00018575,0.00018575
131,2408.01,0.93506,0.98719,1.18725,0.81252,0.65384,0.67997,0.5661,1.29399,1.83694,1.57071,0.0001775,0.0001775,0.0001775
132,2429.84,0.95217,0.98723,1.19068,0.83292,0.64356,0.67789,0.56952,1.17812,1.74733,1.48397,0.00016925,0.00016925,0.00016925
133,2452.09,0.92029,0.97017,1.1734,0.81033,0.66225,0.68376,0.57303,1.22639,1.80398,1.53057,0.000161,0.000161,0.000161
